[2020-11-08 03:21:58.667871] [0x00007f313a860780] [info] - Client::sendDirectory - directory = /home/alessandro/CLionProjects/remote-backup/inputDirectory
[2020-11-08 03:21:58.668473] [0x00007f313a860780] [info] - Client::createRemoteDirectory - directoryPath = /home/alessandro/CLionProjects/remote-backup/inputDirectory/directory
[2020-11-08 03:21:58.668779] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /directory, Chuck = 1
[2020-11-08 03:21:58.669747] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /directory, Chuck = 1
[2020-11-08 03:21:58.669883] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /directory, Chuck = 1
[2020-11-08 03:21:58.670220] [0x00007f313a860780] [info] - Client::sendFile - filePath = /home/alessandro/CLionProjects/remote-backup/inputDirectory/directory/prova.html
[2020-11-08 03:21:58.670792] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /directory/prova.html, Chuck = 1
[2020-11-08 03:21:58.671329] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /directory/prova.html, Chuck = 1
[2020-11-08 03:21:58.671459] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /directory/prova.html, Chuck = 1
[2020-11-08 03:21:58.671735] [0x00007f313a860780] [info] - Client::sendFile - filePath = /home/alessandro/CLionProjects/remote-backup/inputDirectory/directory/prova2.html
[2020-11-08 03:21:58.672258] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /directory/prova2.html, Chuck = 1
[2020-11-08 03:21:58.672735] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /directory/prova2.html, Chuck = 1
[2020-11-08 03:21:58.672858] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /directory/prova2.html, Chuck = 1
[2020-11-08 03:21:58.673170] [0x00007f313a860780] [info] - Client::sendFile - filePath = /home/alessandro/CLionProjects/remote-backup/inputDirectory/IDJEKRJBG.jpg
[2020-11-08 03:21:58.680505] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 1
[2020-11-08 03:21:58.681211] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 1
[2020-11-08 03:21:58.681358] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 1
[2020-11-08 03:21:58.690733] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 2
[2020-11-08 03:21:58.691386] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 2
[2020-11-08 03:21:58.691531] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 2
[2020-11-08 03:21:58.701840] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 3
[2020-11-08 03:21:58.702459] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 3
